実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,60,開始時刻（定時・コアタイム）（就業システム用）,CoretimeStartTimeTEX__c,数式 (数値),,,,,-,
,61,60進数→10進数処理,DecimalConversion__c,選択リスト,,,"2025/6/27
契約伝票への移管",,-,
,62,フレキシブルタイム,FlexibleTime__c,数式 (テキスト),,,,,-,
,63,無効フラグ（就業システム用）,InvalidFlagTEX__c,数式 (テキスト),,,,,-,
,64,午後半日休-所定休憩1終了時刻（就業システム用）,PMOffBreakEndTime1TEX__c,数式 (数値),,,,,-,
,65,午後半日休-所定休憩2終了時刻（就業システム用）,PMOffBreakEndTime2TEX__c,数式 (数値),,,,,-,
,66,午後半日休-所定休憩3終了時刻（就業システム用）,PMOffBreakEndTime3TEX__c,数式 (数値),,,,,-,
,67,午後半日休-所定休憩4終了時刻（就業システム用）,PMOffBreakEndTime4TEX__c,数式 (数値),,,,,-,
,68,午後半日休-所定休憩5終了時刻（就業システム用）,PMOffBreakEndTime5TEX__c,数式 (数値),,,,,-,
,69,午後半日休-所定休憩1開始時刻（就業システム用）,PMOffBreakStartTime1TEX__c,数式 (数値),,,,,-,
,70,午後半日休-所定休憩2開始時刻（就業システム用）,PMOffBreakStartTime2TEX__c,数式 (数値),,,,,-,
,71,午後半日休-所定休憩3開始時刻（就業システム用）,PMOffBreakStartTime3TEX__c,数式 (数値),,,,,-,
